label,L_Shoulder_x,L_Shoulder_y,L_Shoulder_z,R_Shoulder_x,R_Shoulder_y,R_Shoulder_z,L_Elbow_x,L_Elbow_y,L_Elbow_z,R_Elbow_x,R_Elbow_y,R_Elbow_z,L_Wrist_x,L_Wrist_y,L_Wrist_z,R_Wrist_x,R_Wrist_y,R_Wrist_z,L_Hip_x,L_Hip_y,L_Hip_z,R_Hip_x,R_Hip_y,R_Hip_z,L_Knee_x,L_Knee_y,L_Knee_z,R_Knee_x,R_Knee_y,R_Knee_z,L_Ankle_x,L_Ankle_y,L_Ankle_z,R_Ankle_x,R_Ankle_y,R_Ankle_z
cepingju,0.6319395303726196,0.32956063747406,-0.3371542990207672,0.4407869577407837,0.3276891708374023,-0.3073422610759735,0.6370176076889038,0.4128714203834533,-0.1889525800943374,0.4237107634544372,0.4096333086490631,-0.1729646325111389,0.6286512017250061,0.4823995530605316,-0.3102006018161773,0.4156369864940643,0.4788676798343658,-0.2977865636348724,0.5760617852210999,0.462869644165039,-0.0045827734284102,0.4646934866905212,0.4607585370540619,0.0042958548292517,0.5621711611747742,0.5808531641960144,-0.0695533081889152,0.4649690091609955,0.5816226601600647,-0.0116077754646539,0.5448760986328125,0.6930904388427734,0.2992113828659057,0.4637569785118103,0.6930004358291626,0.3384422361850738
cepingju,0.6318561434745789,0.3295718133449554,-0.3005203008651733,0.4407650828361511,0.3276531100273132,-0.2604474425315857,0.6370119452476501,0.4129646420478821,-0.1833027899265289,0.4234742522239685,0.4095929265022278,-0.1484801173210144,0.6288048624992371,0.4823006987571716,-0.3102833330631256,0.4156467318534851,0.4773276448249817,-0.2720078229904175,0.5763291120529175,0.4662089943885803,-0.0086011458188295,0.4646961092948913,0.4636959433555603,0.0083525441586971,0.5621938705444336,0.5784867405891418,-0.1657917499542236,0.4649791717529297,0.5816105008125305,-0.0033865699078887,0.5448333024978638,0.6930332779884338,0.194886565208435,0.4639753103256225,0.6923919320106506,0.3563281595706939
cepingju,0.6316269040107727,0.3295660018920898,-0.2787306904792785,0.4407671988010406,0.3276324570178985,-0.2294068932533264,0.6370247602462769,0.412958562374115,-0.1721976101398468,0.4234570264816284,0.409536212682724,-0.1226172223687172,0.6291239261627197,0.4819619655609131,-0.3095227777957916,0.4154146313667297,0.4767017960548401,-0.2526538074016571,0.5763240456581116,0.4674714207649231,-0.013184854760766,0.4646830260753631,0.4653659462928772,0.0129814893007278,0.5622340440750122,0.5759271383285522,-0.229963943362236,0.464909017086029,0.5816115140914917,0.0040627368725836,0.5448300242424011,0.6930321455001831,0.1065558567643165,0.4640496671199798,0.6922962665557861,0.3614348173141479
cepingju,0.6313570141792297,0.329580157995224,-0.2742692232131958,0.4407798051834106,0.3276500403881073,-0.2189279496669769,0.6370264887809753,0.4129762649536133,-0.1679641902446746,0.42327880859375,0.4095089435577392,-0.1083040982484817,0.6294713616371155,0.4816345274448395,-0.3069500625133514,0.414263904094696,0.4759321808815002,-0.2379885166883468,0.5762030482292175,0.4676929116249084,-0.015337498858571,0.4646258354187011,0.4661492705345154,0.0151458987966179,0.5621532797813416,0.5749436616897583,-0.2196116596460342,0.4647899568080902,0.5815809965133667,0.0053808582015335,0.5448307991027832,0.6930295825004578,0.1249176412820816,0.4640609622001648,0.6922248601913452,0.3626543283462524
cepingju,0.6308104991912842,0.3296142220497131,-0.2831204235553741,0.4408146440982818,0.3276756107807159,-0.2368630468845367,0.637117326259613,0.4129856526851654,-0.1692622601985931,0.4230349361896515,0.40951007604599,-0.1235362067818641,0.6298290491104126,0.4813620150089264,-0.3124478757381439,0.413914144039154,0.4759314060211181,-0.2494190633296966,0.5761470198631287,0.4677839279174804,-0.0157721266150474,0.4645248055458069,0.4663608968257904,0.0155635466799139,0.5622867345809937,0.5733512043952942,-0.228107750415802,0.4647839367389679,0.5813322067260742,0.0106229363009333,0.5448534488677979,0.6925841569900513,0.118403784930706,0.4640971720218658,0.6916622519493103,0.3782784044742584
cepingju,0.6303465962409973,0.3296658396720886,-0.2719519138336181,0.4411712288856506,0.3276572525501251,-0.2370317727327346,0.6372101306915283,0.4129855036735534,-0.1638421714305877,0.42306849360466,0.4094482958316803,-0.1265282779932022,0.6310153603553772,0.4810895323753357,-0.3137289583683014,0.4130856394767761,0.4754477143287658,-0.2557353675365448,0.576144814491272,0.4678462147712707,-0.0153036676347255,0.4645468890666961,0.4664939343929291,0.0150883076712489,0.56239253282547,0.5736216306686401,-0.2113400548696518,0.4646786451339721,0.5813685655593872,0.0063970116898417,0.5448452234268188,0.6925889253616333,0.1336037665605545,0.464103490114212,0.6917659044265747,0.365246832370758
cepingju,0.6296306848526001,0.3296670317649841,-0.2657893002033233,0.4412324726581573,0.3276588022708893,-0.2324337065219879,0.637158989906311,0.4129748940467834,-0.1528304368257522,0.4230656027793884,0.4092766642570495,-0.118237093091011,0.6317080855369568,0.4807547032833099,-0.3108485043048858,0.4127035737037658,0.4746034145355224,-0.257703959941864,0.5760275721549988,0.4677496552467346,-0.0149876289069652,0.4645492434501648,0.4663836359977722,0.0147681329399347,0.5625547170639038,0.5738756656646729,-0.2006307542324066,0.4645009338855743,0.5812608003616333,-0.0047741355374455,0.5448815822601318,0.6925956010818481,0.1447180807590484,0.4641253054141998,0.6917711496353149,0.3431456387042999
cepingju,0.6289865970611572,0.3296641409397125,-0.2744558155536651,0.4413090646266937,0.3275977075099945,-0.2378958612680435,0.6367851495742798,0.412999540567398,-0.1572194248437881,0.4229510128498077,0.4090403020381927,-0.1222084164619445,0.6317983269691467,0.4806964993476867,-0.3177607655525207,0.4123651683330536,0.4739283621311188,-0.2579031884670257,0.5758504867553711,0.4676801562309265,-0.0151801826432347,0.4645530581474304,0.4662825465202331,0.0149476928636431,0.5628613233566284,0.5740295648574829,-0.1990739852190017,0.4644268751144409,0.5807007551193237,-0.0074367853812873,0.5450199842453003,0.6921685934066772,0.1615069359540939,0.464547336101532,0.6915795803070068,0.336103230714798
cepingju,0.6286457777023315,0.3296628892421722,-0.278671532869339,0.4413286745548248,0.32759690284729,-0.2415096461772918,0.6367202997207642,0.413021981716156,-0.1591764092445373,0.4229482114315033,0.4088864922523498,-0.1237473562359809,0.6317881345748901,0.4807342886924743,-0.3213168978691101,0.4117938280105591,0.4736496806144714,-0.2668550908565521,0.5758289098739624,0.4676416516304016,-0.0157140791416168,0.4646064341068268,0.4662097990512848,0.0154700214043259,0.5629914999008179,0.574160099029541,-0.1885534077882766,0.4643767476081848,0.5798465609550476,-0.007329273968935,0.5450937747955322,0.6913533210754395,0.1696120053529739,0.4649393856525421,0.6911544799804688,0.3379728496074676
cepingju,0.6283016204833984,0.3297942280769348,-0.2790173888206482,0.4412114322185516,0.327639490365982,-0.2426051199436187,0.63625168800354,0.4136433005332947,-0.1659440696239471,0.4225426018238067,0.408959150314331,-0.1275503933429718,0.631782591342926,0.4810321927070617,-0.3252220749855041,0.4114791750907898,0.4736886620521545,-0.272276371717453,0.5756398439407349,0.4676660597324371,-0.0158789828419685,0.4645791053771972,0.4664395749568939,0.0156279243528842,0.5630231499671936,0.5741796493530273,-0.1802956461906433,0.4643392860889435,0.5798009634017944,-0.0041804830543696,0.5452350974082947,0.6910921335220337,0.1944344788789749,0.465490847826004,0.6909725666046143,0.3471445739269256
